,Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,Config,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
0,0.00369456891772569,0.041637048295877284,6,"(1, 1)","""Node6""","""Node5""","""Node6""","""Node1""","""Node3""","""Node5""","""Node6""","""Node2""","""Node4""","""Node2""","""Node2""",20,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS"""
1,0.0046734164037396395,0.04449093194926906,6,"(1, 1)","""Node5""","""Node3""","""Node6""","""Node5""","""Node2""","""Node4""","""Node3""","""Node6""","""Node4""","""Node6""","""Node1""",20,0.5,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
2,0.0036910504363836796,0.042777567421010826,6,"(1, 1)","""Node1""","""Node3""","""Node2""","""Node1""","""Node4""","""Node3""","""Node5""","""Node6""","""Node4""","""Node5""","""Node6""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
3,0.0041622786993007295,0.04013416721203777,6,"(1, 1)","""Node6""","""Node2""","""Node1""","""Node6""","""Node5""","""Node2""","""Node4""","""Node1""","""Node3""","""Node4""","""Node4""",20,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
4,99999.0,99999.0,99999,"(1, 1)","""Node1""","""Node4""","""Node1""","""Node1""","""Node3""","""Node2""","""Node6""","""Node6""","""Node3""","""Node2""","""Node3""",20,1.0,1.0,1.0,0.25,0.25,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
5,0.00531854532839921,0.038783705068109145,5,"(1, 1)","""Node4""","""Node2""","""Node4""","""Node3""","""Node1""","""Node2""","""Node5""","""Node3""","""Node1""","""Node5""","""Node5""",2,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
6,99999.0,99999.0,99999,"(6, 7)","""Node4""","""Node2""","""Node4""","""Node2""","""Node1""","""Node2""","""Node4""","""Node3""","""Node1""","""Node3""","""Node3""",30,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
7,0.0034626289678422197,0.041692398816265616,6,"(1, 1)","""Node3""","""Node2""","""Node3""","""Node4""","""Node5""","""Node2""","""Node4""","""Node6""","""Node1""","""Node1""","""Node1""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB"""
8,0.004514048039171071,0.03866262999831048,6,"(1, 1)","""Node3""","""Node2""","""Node4""","""Node3""","""Node6""","""Node2""","""Node5""","""Node4""","""Node6""","""Node5""","""Node1""",20,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB"""
9,0.0038255165585181898,0.042621485140648716,6,"(1, 1)","""Node4""","""Node5""","""Node2""","""Node4""","""Node3""","""Node5""","""Node2""","""Node6""","""Node1""","""Node6""","""Node6""",20,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
