Latency (s),Energy Consumption (j),Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,No_Proc_Preffered,Combi_Task,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank,no_1.0_VSFS,no_MIPS,no_Adreno,no_ARMv8
0.0036418406247506296,0.050122539161079824,4,No Transfrom,"""Node2""","""Node3""","""Node2""","""Node4""","""Node1""","""Node3""","""Node2""","""Node4""","""Node3""","""Node4""","""Node4""","(0, 2, 2)",4,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1.0,0,2,2
0.00304946151021411,0.05583874442090876,4,No Transfrom,"""Node4""","""Node3""","""Node4""","""Node2""","""Node1""","""Node3""","""Node4""","""Node2""","""Node1""","""Node2""","""Node2""","(1, 0, 3)",4,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1.0,1,0,3
0.00413190247461267,0.046316502242453525,4,No Transfrom,"""Node1""","""Node2""","""Node1""","""Node4""","""Node3""","""Node2""","""Node1""","""Node4""","""Node2""","""Node4""","""Node4""","(1, 1, 2)",4,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1.0,1,1,2
0.00332073271689315,0.04883137260641037,5,No Transfrom,"""Node5""","""Node1""","""Node5""","""Node4""","""Node2""","""Node1""","""Node5""","""Node3""","""Node2""","""Node3""","""Node3""","(0, 3, 2)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,1.0,0,3,2
0.0036493693636464202,0.046630987222988037,5,No Transfrom,"""Node3""","""Node3""","""Node2""","""Node3""","""Node4""","""Node5""","""Node1""","""Node2""","""Node5""","""Node1""","""Node1""","(0, 4, 1)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,1.0,0,4,1
0.00391588223985118,0.0496755150273833,5,No Transfrom,"""Node4""","""Node3""","""Node5""","""Node4""","""Node1""","""Node2""","""Node3""","""Node5""","""Node2""","""Node1""","""Node2""","(1, 0, 4)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,1.0,1,0,4
0.00327115613256795,0.04867565961209668,5,No Transfrom,"""Node5""","""Node2""","""Node5""","""Node5""","""Node3""","""Node2""","""Node4""","""Node1""","""Node3""","""Node1""","""Node4""","(1, 3, 1)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1.0,1,3,1
0.00325372284952242,0.044635584078191855,5,No Transfrom,"""Node3""","""Node2""","""Node4""","""Node3""","""Node5""","""Node2""","""Node1""","""Node4""","""Node5""","""Node1""","""Node1""","(2, 2, 1)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1.0,2,2,1
0.00453155277949736,0.04084110760230862,5,No Transfrom,"""Node3""","""Node2""","""Node1""","""Node3""","""Node4""","""Node2""","""Node1""","""Node5""","""Node4""","""Node5""","""Node5""","(3, 2, 0)",5,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1.0,3,2,0
0.00323338231355363,0.053439806361371335,6,No Transfrom,"""Node2""","""Node6""","""Node5""","""Node2""","""Node3""","""Node6""","""Node1""","""Node5""","""Node4""","""Node1""","""Node4""","(0, 1, 5)",6,"(1, 1)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1.0,0,1,5
