,	MapTask8To,AllowTF,Combined Tasks,Latency,MapTask10To,MapTask11To,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,MapTask9To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,Number of Processors,Number_Of_Processors_Preffered,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,PowerConsumption,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6
0,"""Node1""",True,"(7, 8)",99999.0,"""Node5""","""Node5""","""Node3""","""Node6""","""Node4""","""Node6""","""Node1""","""Node2""","""Node6""","""Node2""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""",99999,6.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",99999.0,1.0,1.0,1.0,1.0,1.0,1.0
1,"""Node6""",True,"(7, 8)",99999.0,"""Node6""","""Node6""","""Node2""","""Node3""","""Node5""","""Node5""","""Node1""","""Node4""","""Node5""","""Node4""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""MIPS""",99999,3.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",99999.0,1.0,1.0,1.0,1.0,1.0,1.0
0,"""Node1""",,"(5, 5)",99999.0,"""Node1""","""Node4""","""Node2""","""Node6""","""Node2""","""Node1""","""Node4""","""Node6""","""Node2""","""Node4""","""MIPS""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",99999,,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",99999.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0
1,"""Node2""",,"(7, 8)",0.0046111192843824,"""Node4""","""Node4""","""Node6""","""Node2""","""Node3""","""Node6""","""Node4""","""Node2""","""Node3""","""Node1""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",5,,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",0.040914084746659134,1.0,1.0,1.0,1.0,0.5,1.0
2,"""Node3""",,"(4, 4)",0.00592382546593851,"""Node6""","""Node6""","""Node3""","""Node4""","""Node4""","""Node2""","""Node6""","""Node5""","""Node2""","""Node5""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",5,,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",0.03912840059410954,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
3,"""Node4""",,"(8, 8)",0.0047481493556400705,"""Node4""","""Node2""","""Node1""","""Node1""","""Node1""","""Node4""","""Node2""","""Node6""","""Node1""","""Node2""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",4,,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""FCFS""",0.04132315839450278,1.0,1.0,0.6666666666666666,1.0,0.25,1.0
4,"""Node4""",,"(3, 3)",0.00533955994568941,"""Node4""","""Node5""","""Node6""","""Node6""","""Node2""","""Node4""","""Node1""","""Node6""","""Node2""","""Node5""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",5,,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",0.04050714579172576,1.0,1.0,0.6666666666666666,1.0,0.5,1.0
5,"""Node2""",,"(4, 4)",0.00472374642987693,"""Node4""","""Node3""","""Node6""","""Node5""","""Node1""","""Node2""","""Node4""","""Node6""","""Node1""","""Node3""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",6,,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS""",0.04227128325291689,1.0,1.0,0.6666666666666666,1.0,0.5,1.0
6,"""Node2""",,"(4, 4)",99999.0,"""Node4""","""Node4""","""Node6""","""Node6""","""Node6""","""Node2""","""Node1""","""Node6""","""Node4""","""Node4""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""Adreno""","""MIPS""",99999,,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",99999.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0
7,"""Node6""",,"(4, 4)",0.00476210893380956,"""Node2""","""Node4""","""Node3""","""Node5""","""Node1""","""Node6""","""Node4""","""Node2""","""Node1""","""Node4""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""",6,,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",0.04278554955634396,1.0,1.0,0.6666666666666666,1.0,0.5,1.0
8,"""Node6""",,"(3, 3)",99999.0,"""Node6""","""Node6""","""Node1""","""Node1""","""Node1""","""Node6""","""Node2""","""Node4""","""Node1""","""Node4""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",99999,,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""FCFS""",99999.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0
9,"""Node6""",,"(7, 7)",0.00500650042168839,"""Node6""","""Node5""","""Node2""","""Node3""","""Node2""","""Node6""","""Node4""","""Node1""","""Node2""","""Node5""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""Adreno""",6,,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",0.04436479387824508,1.0,1.0,0.25,1.0,0.5,1.0
10,"""Node6""",,"(7, 8)",0.00605028896581872,"""Node3""","""Node5""","""Node2""","""Node4""","""Node6""","""Node2""","""Node1""","""Node4""","""Node2""","""Node5""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",6,,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",0.04310120623301402,1.0,1.0,0.6666666666666666,1.0,0.5,1.0
11,"""Node4""",,"(3, 3)",0.00423439768115224,"""Node5""","""Node6""","""Node1""","""Node3""","""Node1""","""Node4""","""Node2""","""Node6""","""Node1""","""Node6""","""Adreno""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",6,,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""FCFS""",0.042683336437401534,1.0,1.0,0.6666666666666666,1.0,0.5,1.0
12,"""Node6""",,"(4, 4)",0.0036650115165601897,"""Node1""","""Node4""","""Node2""","""Node3""","""Node2""","""Node6""","""Node1""","""Node5""","""Node2""","""Node4""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""",6,,"""FCFS""","""PB""","""PB""","""PB""","""PB""","""FCFS""",0.04207345956748233,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
0,"""Node2""",,"(3, 3)",99999.0,"""Node2""","""Node2""","""Node6""","""Node1""","""Node6""","""Node6""","""Node4""","""Node1""","""Node2""","""Node2""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",99999,,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""PB""",99999.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
