Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank
0.005380016,0.037584656,5,"(8, 8)","""Node4""","""Node2""","""Node5""","""Node4""","""Node2""","""Node6""","""Node1""","""Node4""","""Node6""","""Node1""","""Node1""","""MIPS""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",1.0,1.0,0.666666667,1.0,0.5,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS""",19
0.00505664,0.03772534,5,"(4, 4)","""Node6""","""Node1""","""Node4""","""Node6""","""Node3""","""Node1""","""Node4""","""Node6""","""Node5""","""Node3""","""Node3""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""MIPS""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""",16
0.005074034,0.037902454,6,"(6, 6)","""Node6""","""Node6""","""Node5""","""Node3""","""Node4""","""Node3""","""Node1""","""Node2""","""Node2""","""Node1""","""Node1""","""MIPS""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",1.0,1.0,0.666666667,1.0,0.5,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""",17
0.0053119230000000005,0.038145816,5,"(3, 3)","""Node1""","""Node4""","""Node2""","""Node1""","""Node4""","""Node5""","""Node6""","""Node5""","""Node5""","""Node6""","""Node6""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",1.0,1.0,0.666666667,1.0,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",19
0.0053119230000000005,0.038145816,5,"(3, 3)","""Node1""","""Node4""","""Node2""","""Node1""","""Node4""","""Node5""","""Node6""","""Node5""","""Node5""","""Node6""","""Node6""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",1.0,1.0,0.666666667,1.0,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",20
0.005500368,0.038155395,4,"(6, 8)","""Node6""","""Node6""","""Node5""","""Node6""","""Node1""","""Node3""","""Node5""","""Node6""","""Node1""","""Node3""","""Node3""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""MIPS""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB""",19
0.005084685,0.038267153,5,"(7, 8)","""Node4""","""Node4""","""Node6""","""Node4""","""Node2""","""Node3""","""Node6""","""Node2""","""Node2""","""Node1""","""Node1""","""MIPS""","""MIPS""","""ARMv8""","""MIPS""","""MIPS""","""MIPS""",1.0,1.0,0.666666667,1.0,0.5,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",17
0.00579895,0.038341419,5,"(5, 8)","""Node1""","""Node4""","""Node5""","""Node1""","""Node4""","""Node6""","""Node2""","""Node2""","""Node6""","""Node2""","""Node2""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",0.666666667,1.0,0.666666667,1.0,0.5,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS""",23
0.005604464,0.038379874,5,"(7, 7)","""Node1""","""Node1""","""Node4""","""Node1""","""Node6""","""Node5""","""Node2""","""Node4""","""Node6""","""Node2""","""Node2""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""MIPS""","""MIPS""",1.0,1.0,1.0,1.0,0.666666667,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB""",21
0.005821862,0.038422228,6,"(7, 8)","""Node3""","""Node1""","""Node1""","""Node2""","""Node5""","""Node6""","""Node2""","""Node5""","""Node4""","""Node6""","""Node6""","""Adreno""","""MIPS""","""Adreno""","""MIPS""","""Adreno""","""MIPS""",1.0,1.0,1.0,1.0,0.666666667,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS""",24
