Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,"	MapTask8To",MapTask9To,MapTask10To,MapTask11To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank
0.004989236,0.039067166,6,"(6, 8)","""Node4""","""Node1""","""Node5""","""Node1""","""Node2""","""Node3""","""Node5""","""Node2""","""Node6""","""Node3""","""Node6""","""MIPS""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""",1,0.666666667,1,0.5,1,1,"""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS""",1
0.004990188,0.039417014,5,"(7, 8)","""Node5""","""Node2""","""Node3""","""Node5""","""Node1""","""Node4""","""Node3""","""Node3""","""Node1""","""Node4""","""Node1""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""Adreno""","""Adreno""",1,0.25,1,1,0.666666667,0.25,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1
0.004150124,0.040019076,6,"(6, 8)","""Node5""","""Node2""","""Node3""","""Node5""","""Node1""","""Node2""","""Node3""","""Node6""","""Node1""","""Node4""","""Node4""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""ARMv8""","""Adreno""",1,1,1,1,1,0.25,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""",1
0.003900238,0.042668471,6,"(3, 3)","""Node5""","""Node6""","""Node5""","""Node1""","""Node2""","""Node3""","""Node6""","""Node1""","""Node2""","""Node4""","""Node2""","""Adreno""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""",1,1,0.666666667,0.666666667,1,0.666666667,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",1
0.003129302,0.042979316,6,"(2, 2)","""Node4""","""Node4""","""Node3""","""Node5""","""Node6""","""Node2""","""Node1""","""Node5""","""Node1""","""Node1""","""Node1""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""","""Adreno""","""MIPS""",1,1,1,1,1,1,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",1
0.007605754,0.039324073,6,"(7, 8)","""Node6""","""Node4""","""Node1""","""Node4""","""Node5""","""Node1""","""Node2""","""Node6""","""Node3""","""Node2""","""Node2""","""MIPS""","""MIPS""","""MIPS""","""ARMv8""","""Adreno""","""ARMv8""",1,1,1,1,0.666666667,0.25,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB""",2
0.004419997,0.040035215,6,"(6, 8)","""Node6""","""Node3""","""Node4""","""Node6""","""Node2""","""Node5""","""Node4""","""Node3""","""Node1""","""Node2""","""Node2""","""Adreno""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""Adreno""",1,1,0.25,1,1,1,"""FCFS""","""PB""","""FCFS""","""PB""","""PB""","""FCFS""",2
0.004216424,0.040964262,6,"(5, 8)","""Node3""","""Node4""","""Node6""","""Node3""","""Node5""","""Node1""","""Node3""","""Node2""","""Node5""","""Node2""","""Node5""","""Adreno""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""Adreno""",0.666666667,1,1,0.666666667,1,1,"""FCFS""","""FCFS""","""FCFS""","""PB""","""PB""","""FCFS""",2
0.00394153,0.042733713,6,"(7, 8)","""Node6""","""Node2""","""Node6""","""Node6""","""Node5""","""Node1""","""Node3""","""Node4""","""Node3""","""Node3""","""Node3""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",0.666666667,0.666666667,1,0.666666667,1,1,"""PB""","""PB""","""PB""","""PB""","""FCFS""","""FCFS""",2
0.003400989,0.04337796,6,"(7, 8)","""Node6""","""Node1""","""Node4""","""Node2""","""Node3""","""Node1""","""Node5""","""Node2""","""Node5""","""Node3""","""Node5""","""ARMv8""","""Adreno""","""MIPS""","""ARMv8""","""MIPS""","""ARMv8""",0.666666667,1,1,0.5,1,1,"""PB""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""",2
