Latency (s),Energy Consumption (j),Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,"	MapTask8To",MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,No_Proc_Preffered,Combi_Task,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank,no_1.0_VSFS,no_MIPS,no_Adreno,no_ARMv8
0.004223634,0.047757635,4,"(5, 7)","""Node1""","""Node2""","""Node1""","""Node4""","""Node1""","""Node2""","""Node4""","""Node3""","""Node4""","""Node3""","""Node3""","(1, 1, 2)",4,"(5, 7)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,1,1,1,2
0.003483501,0.041646102,5,"(6, 8)","""Node2""","""Node1""","""Node2""","""Node1""","""Node4""","""Node5""","""Node2""","""Node2""","""Node4""","""Node5""","""Node3""","(1, 3, 1)",5,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",2,1,1,3,1
0.005308746,0.041411303,5,"(7, 8)","""Node3""","""Node4""","""Node3""","""Node3""","""Node5""","""Node1""","""Node4""","""Node1""","""Node5""","""Node2""","""Node1""","(3, 2, 0)",5,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",6,1,3,2,0
0.004048127,0.049431371,6,"(5, 8)","""Node1""","""Node6""","""Node1""","""Node1""","""Node5""","""Node6""","""Node4""","""Node1""","""Node3""","""Node2""","""Node2""","(0, 1, 5)",6,"(5, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",10,1,0,1,5
0.004615438,0.047218107,4,"(3, 4)","""Node1""","""Node1""","""Node2""","""Node4""","""Node4""","""Node3""","""Node1""","""Node2""","""Node3""","""Node4""","""Node4""","(1, 2, 1)",4,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,1,1,2,1
0.004837383,0.039569649,5,"(7, 8)","""Node2""","""Node1""","""Node2""","""Node2""","""Node3""","""Node1""","""Node4""","""Node2""","""Node3""","""Node4""","""Node5""","(4, 1, 0)",5,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,4,1,0
0.004616939,0.041431143,6,"(5, 6)","""Node1""","""Node2""","""Node1""","""Node1""","""Node2""","""Node5""","""Node6""","""Node5""","""Node4""","""Node3""","""Node3""","(1, 5, 0)",6,"(5, 6)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",5,1,1,5,0
0.005578855,0.043934662,6,"(7, 8)","""Node4""","""Node4""","""Node4""","""Node4""","""Node3""","""Node5""","""Node1""","""Node4""","""Node6""","""Node2""","""Node3""","(1, 5, 0)",6,"(7, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",9,1,1,5,0
0.004344316,0.041135223,6,"(6, 8)","""Node4""","""Node5""","""Node4""","""Node4""","""Node6""","""Node5""","""Node2""","""Node5""","""Node1""","""Node3""","""Node6""","(3, 3, 0)",6,"(6, 8)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",3,1,3,3,0
0.004639271,0.043716073,5,"(3, 4)","""Node1""","""Node3""","""Node5""","""Node3""","""Node4""","""Node3""","""Node1""","""Node5""","""Node2""","""Node4""","""Node4""","(1, 4, 0)",5,"(3, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",4,1,1,4,0
