Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank,no_1.0_VSFS,no_MIPS,no_Adreno,no_ARMv8
0.0039326706979122,0.04099428081041378,6,"(3, 4)","""Node6""","""Node3""","""Node6""","""Node1""","""Node1""","""Node4""","""Node2""","""Node6""","""Node1""","""Node5""","""Node5""","(3, 3, 0)",1.0,1.0,0.5,1.0,1.0,1.0,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",15,0.5,3,3,0
0.00577129649806402,0.04269781131705621,6,"(6, 8)","""Node5""","""Node1""","""Node6""","""Node5""","""Node2""","""Node1""","""Node6""","""Node2""","""Node4""","""Node3""","""Node3""","(6, 0, 0)",1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""FCFS""",39,0.3333333333333333,6,0,0
0.004736517684235529,0.049134514286745166,4,"(1, 1)","""Node3""","""Node1""","""Node2""","""Node4""","""Node3""","""Node1""","""Node2""","""Node4""","""Node2""","""Node4""","""Node4""","(1, 1, 2)",1.0,1.0,1.0,1.0,0.6666666666666666,0.25,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""PB""",13,0.5,1,1,2
0.00457172678527006,0.04569084044244357,5,"(1, 1)","""Node6""","""Node1""","""Node6""","""Node6""","""Node4""","""Node5""","""Node1""","""Node2""","""Node4""","""Node2""","""Node5""","(0, 1, 5)",0.6666666666666666,0.6666666666666666,0.25,1.0,1.0,1.0,"""PB""","""FCFS""","""PB""","""PB""","""FCFS""","""PB""",19,0.3333333333333333,0,1,5
0.004477347621046171,0.045385128256773016,5,"(3, 4)","""Node4""","""Node2""","""Node5""","""Node5""","""Node1""","""Node4""","""Node2""","""Node5""","""Node1""","""Node3""","""Node3""","(4, 1, 0)",1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""PB""","""PB""","""PB""",18,0.8,4,1,0
0.00577129649806402,0.04269781131705621,5,"(5, 8)","""Node3""","""Node2""","""Node3""","""Node3""","""Node5""","""Node1""","""Node2""","""Node5""","""Node4""","""Node2""","""Node5""","(3, 0, 2)",0.6666666666666666,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""",23,0.8,3,0,2
0.0039326706979122,0.04099428081041378,5,"(6, 8)","""Node4""","""Node3""","""Node4""","""Node3""","""Node2""","""Node5""","""Node4""","""Node4""","""Node2""","""Node5""","""Node1""","(1, 3, 1)",1.0,1.0,0.6666666666666666,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",5,0.6,1,3,1
0.00351777104898961,0.0545544293305649,6,"(1, 1)","""Node4""","""Node1""","""Node2""","""Node4""","""Node3""","""Node6""","""Node2""","""Node5""","""Node3""","""Node5""","""Node5""","(0, 0, 6)",0.5,1.0,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""PB""",16,0.5,0,0,6
0.0053636380552876395,0.04541920542673434,6,"(1, 1)","""Node1""","""Node5""","""Node5""","""Node3""","""Node4""","""Node2""","""Node6""","""Node5""","""Node2""","""Node4""","""Node6""","(0, 5, 1)",0.5,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,"""FCFS""","""FCFS""","""PB""","""PB""","""FCFS""","""PB""",47,0.3333333333333333,0,5,1
0.00544726740772235,0.042517493376303006,6,"(3, 4)","""Node3""","""Node2""","""Node1""","""Node3""","""Node4""","""Node5""","""Node2""","""Node6""","""Node5""","""Node4""","""Node4""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB""",37,0.3333333333333333,3,3,0
