Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,No_Proc_Preffered,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
99999.0,99999.0,99999,"(2, 2)","""Node5""","""Node5""","""Node2""","""Node6""","""Node1""","""Node5""","""Node2""","""Node6""","""Node2""","""Node2""","""Node2""","(0, 3, 3)",4,0.25,0.6666666666666666,0.25,0.25,0.5,1.0,"""PB""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
0.0050917954151917,0.040545751918843666,6,"(3, 3)","""Node2""","""Node3""","""Node4""","""Node6""","""Node2""","""Node3""","""Node4""","""Node1""","""Node1""","""Node5""","""Node5""","(3, 3, 0)",6,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""FCFS"""
0.00395590030966985,0.053152959286004484,5,"(2, 2)","""Node1""","""Node1""","""Node6""","""Node6""","""Node1""","""Node3""","""Node6""","""Node2""","""Node4""","""Node4""","""Node4""","(0, 1, 5)",5,1.0,0.6666666666666666,1.0,1.0,0.25,1.0,"""FCFS""","""FCFS""","""PB""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(7, 8)","""Node4""","""Node4""","""Node4""","""Node6""","""Node2""","""Node4""","""Node3""","""Node3""","""Node2""","""Node3""","""Node3""","(6, 0, 0)",4,0.6666666666666666,1.0,1.0,1.0,1.0,0.25,"""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB"""
99999.0,99999.0,99999,"(6, 6)","""Node5""","""Node1""","""Node6""","""Node3""","""Node5""","""Node1""","""Node1""","""Node3""","""Node1""","""Node1""","""Node1""","(4, 0, 2)",4,1.0,1.0,1.0,0.25,1.0,0.6666666666666666,"""PB""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
99999.0,99999.0,99999,"(5, 7)","""Node2""","""Node5""","""Node2""","""Node2""","""Node1""","""Node5""","""Node1""","""Node2""","""Node1""","""Node1""","""Node4""","(1, 0, 5)",4,1.0,1.0,0.5,0.5,0.6666666666666666,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB"""
0.00402495323854393,0.04846671527549977,6,"(6, 6)","""Node1""","""Node1""","""Node6""","""Node4""","""Node1""","""Node4""","""Node6""","""Node3""","""Node5""","""Node2""","""Node2""","(2, 1, 3)",6,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(7, 8)","""Node6""","""Node6""","""Node6""","""Node1""","""Node5""","""Node2""","""Node1""","""Node1""","""Node5""","""Node1""","""Node1""","(3, 3, 0)",4,1.0,0.5,0.6666666666666666,1.0,1.0,0.6666666666666666,"""PB""","""PB""","""PB""","""FCFS""","""PB""","""FCFS"""
0.00402521849388757,0.05380620653071223,6,"(7, 7)","""Node2""","""Node4""","""Node6""","""Node4""","""Node5""","""Node3""","""Node6""","""Node1""","""Node3""","""Node1""","""Node1""","(0, 0, 6)",6,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""FCFS""","""PB"""
0.004630401611440189,0.04991548773634815,5,"(5, 5)","""Node6""","""Node1""","""Node2""","""Node3""","""Node6""","""Node4""","""Node2""","""Node3""","""Node2""","""Node4""","""Node2""","(0, 2, 4)",5,0.5,1.0,1.0,0.6666666666666666,0.5,1.0,"""PB""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
