Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,"	MapTask8To",MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank,no_1.0_VSFS,no_MIPS,no_Adreno,no_ARMv8
0.003049462,0.055838744,4,"(1 ,1)","""Node4""","""Node3""","""Node4""","""Node2""","""Node1""","""Node3""","""Node4""","""Node2""","""Node1""","""Node2""","""Node2""","(1, 0, 3)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,1,0,3
0.003253723,0.044635584,5,"(1 ,1)","""Node3""","""Node2""","""Node4""","""Node3""","""Node5""","""Node2""","""Node1""","""Node4""","""Node5""","""Node1""","""Node1""","(2, 2, 1)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,2,2,1
0.004531553,0.040841108,5,"(1 ,1)","""Node3""","""Node2""","""Node1""","""Node3""","""Node4""","""Node2""","""Node1""","""Node5""","""Node4""","""Node5""","""Node5""","(3, 2, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,3,2,0
0.003350915,0.04104371,4,"(1 ,1)","""Node2""","""Node2""","""Node4""","""Node2""","""Node3""","""Node1""","""Node4""","""Node4""","""Node3""","""Node1""","""Node3""","(1, 2, 1)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,1,2,1
0.003233382,0.053439806,5,"(1 ,1)","""Node3""","""Node2""","""Node4""","""Node3""","""Node5""","""Node1""","""Node2""","""Node4""","""Node1""","""Node5""","""Node5""","(4, 1, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,4,1,0
0.003058759,0.050733371,6,"(1 ,1)","""Node1""","""Node4""","""Node1""","""Node6""","""Node3""","""Node2""","""Node4""","""Node6""","""Node5""","""Node5""","""Node5""","(0, 3, 3)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,0,3,3
0.003136083,0.049294312,6,"(1 ,1)","""Node5""","""Node6""","""Node4""","""Node5""","""Node1""","""Node6""","""Node4""","""Node2""","""Node3""","""Node2""","""Node3""","(2, 0, 4)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,2,0,4
0.003590284,0.039750192,6,"(1 ,1)","""Node4""","""Node6""","""Node5""","""Node4""","""Node2""","""Node6""","""Node3""","""Node5""","""Node1""","""Node3""","""Node1""","(5, 1, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,5,1,0
0.004852511,0.037665339,6,"(3, 4)","""Node6""","""Node3""","""Node2""","""Node1""","""Node1""","""Node3""","""Node6""","""Node2""","""Node4""","""Node5""","""Node5""","(6, 0, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,6,0,0
0.003756544,0.039267117,6,"(3, 4)","""Node6""","""Node5""","""Node6""","""Node1""","""Node3""","""Node5""","""Node4""","""Node6""","""Node2""","""Node1""","""Node1""","(5, 1, 0)",1,1,1,1,1,1,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB""",1,1,5,1,0
