Frequency                 550000000   Hz
ContextSwitchingtime      4000       Cycles
PowerConsumption          0.1        W

Task      Cycles                Memory
Scenario  S1        S2        S1        S2

Task1	113060	113060	12835	12835
Task24  165660  397878  21100  23060
Task3	284000	329560	23600	28340
Task5	685320	542880	25490	22648
Task6	656110	553000	23745	21310
Task7	398220	300600	18120	19820
Task8	472050	450600	29040	33472
Task9	274370	237750	28205	24608
Task10	203750	209750	19060	22275
Task11	39050	39050	3200	3200
