Frequency                 390000000   Hz
ContextSwitchingtime      6000       Cycles
PowerConsumption          0.065        W

Task      Cycles                Memory
Scenario  S1        S2        S1        S2

Task1	98540	98540	19335	19335
Task2	124380	117900	25800	12590
Task34  217450  460270  27765  27648
Task5	545310	434320	31745	30670
Task6	456790	423400	35610	32990
Task7	325670	236540	28020	28275
Task8	369120	302370	18432	28180
Task9	208450	195780	21673	22562
Task10	136170	138320	29500	34395
Task11	28640	28640	8000	8000
