Frequency                 980000000   Hz
ContextSwitchingtime      25000       Cycles
PowerConsumption          0.15        W

Task      Cycles                Memory
Scenario  S1        S2        S1        S2

Task1	192450	192450	16707	16118
Task23  587856  670600  16590  14745
Task4	0	970500	0	38982
Task5	1125420	911500	18432	25804
Task6	950540	950540	8491	20864
Task7	692800	511540	6424	6892
Task8	782590	660810	19340	23334
Task9	442410	391580	25433	22157
Task10	305310	306990	33236	28114
Task11	60300	60300	2000	2000


