Latency,PowerConsumption,Number of Processors,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
9999,9999,9999,"""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""Adreno""","""MIPS""",0.25,0.25,1.0,1.0,0.25,0.25,"""PB""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
9999,9999,9999,"""Adreno""","""Adreno""","""MIPS""","""MIPS""","""ARMv8""","""ARMv8""",0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.6666666666666666,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""PB"""
9999,9999,9999,"""ARMv8""","""Adreno""","""ARMv8""","""MIPS""","""MIPS""","""Adreno""",1.0,0.25,0.25,0.6666666666666666,1.0,0.25,"""FCFS""","""FCFS""","""PB""","""PB""","""FCFS""","""PB"""
9999,9999,9999,"""Adreno""","""Adreno""","""ARMv8""","""Adreno""","""Adreno""","""Adreno""",0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.25,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS"""
9999,9999,9999,"""MIPS""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""Adreno""",1.0,0.25,0.25,0.6666666666666666,1.0,0.6666666666666666,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""FCFS"""
9999,9999,9999,"""Adreno""","""ARMv8""","""Adreno""","""Adreno""","""Adreno""","""MIPS""",1.0,1.0,0.25,1.0,0.25,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB"""
9999,9999,9999,"""MIPS""","""ARMv8""","""Adreno""","""ARMv8""","""ARMv8""","""MIPS""",0.25,0.25,0.25,1.0,0.25,0.6666666666666666,"""PB""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
9999,9999,9999,"""MIPS""","""MIPS""","""ARMv8""","""ARMv8""","""Adreno""","""Adreno""",1.0,0.25,0.25,0.25,1.0,0.25,"""FCFS""","""PB""","""FCFS""","""PB""","""FCFS""","""PB"""
9999,9999,9999,"""ARMv8""","""MIPS""","""Adreno""","""MIPS""","""ARMv8""","""MIPS""",1.0,1.0,0.25,0.6666666666666666,0.25,0.6666666666666666,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS"""
9999,9999,9999,"""ARMv8""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""ARMv8""",0.25,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
