Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,No_Proc_Preffered,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
0.00543030781447999,0.0408574899497994,6,"(7, 8)","""Node5""","""Node4""","""Node3""","""Node6""","""Node1""","""Node2""","""Node3""","""Node4""","""Node2""","""Node1""","""Node1""","(4, 1, 1)",6,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,"""PB""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS"""
99999.0,99999.0,99999,"(6, 6)","""Node3""","""Node1""","""Node6""","""Node3""","""Node2""","""Node4""","""Node6""","""Node1""","""Node4""","""Node1""","""Node5""","(2, 0, 4)",6,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.25,0.6666666666666666,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB"""
99999.0,99999.0,99999,"(4, 4)","""Node3""","""Node3""","""Node4""","""Node4""","""Node1""","""Node3""","""Node1""","""Node6""","""Node1""","""Node1""","""Node1""","(2, 3, 1)",4,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,"""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB"""
0.00414382212728286,0.04519877646353,6,"(3, 3)","""Node1""","""Node1""","""Node5""","""Node1""","""Node4""","""Node3""","""Node1""","""Node6""","""Node3""","""Node6""","""Node2""","(0, 6, 0)",6,1.0,0.25,1.0,1.0,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""PB""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(6, 6)","""Node2""","""Node2""","""Node5""","""Node6""","""Node1""","""Node5""","""Node5""","""Node6""","""Node3""","""Node5""","""Node3""","(5, 0, 1)",5,0.5,0.25,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(4, 4)","""Node6""","""Node6""","""Node1""","""Node6""","""Node2""","""Node4""","""Node2""","""Node5""","""Node4""","""Node2""","""Node4""","(3, 1, 2)",5,0.6666666666666666,1.0,0.25,1.0,0.6666666666666666,1.0,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(7, 7)","""Node2""","""Node2""","""Node5""","""Node4""","""Node2""","""Node1""","""Node5""","""Node1""","""Node1""","""Node1""","""Node1""","(3, 2, 1)",4,1.0,1.0,0.5,1.0,1.0,0.25,"""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB"""
99999.0,99999.0,99999,"(5, 5)","""Node2""","""Node3""","""Node3""","""Node6""","""Node4""","""Node1""","""Node5""","""Node6""","""Node4""","""Node5""","""Node1""","(1, 3, 2)",6,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,"""PB""","""PB""","""PB""","""PB""","""FCFS""","""FCFS"""
99999.0,99999.0,99999,"(4, 4)","""Node3""","""Node5""","""Node2""","""Node3""","""Node4""","""Node3""","""Node4""","""Node2""","""Node4""","""Node4""","""Node4""","(2, 1, 3)",4,1.0,0.25,1.0,0.6666666666666666,0.25,1.0,"""PB""","""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS"""
99999.0,99999.0,99999,"(8, 8)","""Node6""","""Node2""","""Node4""","""Node6""","""Node2""","""Node1""","""Node3""","""Node1""","""Node1""","""Node1""","""Node5""","(2, 1, 3)",6,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,"""FCFS""","""FCFS""","""PB""","""PB""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(8, 8)","""Node5""","""Node6""","""Node3""","""Node3""","""Node6""","""Node1""","""Node3""","""Node5""","""Node2""","""Node6""","""Node4""","(1, 4, 1)",6,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.6666666666666666,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS"""
99999.0,99999.0,99999,"(2, 2)","""Node5""","""Node1""","""Node5""","""Node2""","""Node3""","""Node1""","""Node5""","""Node1""","""Node1""","""Node1""","""Node1""","(2, 0, 4)",4,1.0,1.0,1.0,0.6666666666666666,1.0,0.25,"""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS"""
