Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,No_Proc_Preffered,Combi_Task,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
0.00497453510246961,0.0,4,"(3, 4)","""Node1""","""Node3""","""Node1""","""Node4""","""Node4""","""Node2""","""Node3""","""Node1""","""Node2""","""Node4""","""Node4""","(0, 2, 2)",4,"(3, 4)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.0050739414489842,0.05339246125715406,4,"(3, 4)","""Node3""","""Node1""","""Node3""","""Node3""","""Node2""","""Node4""","""Node1""","""Node3""","""Node4""","""Node2""","""Node2""","(1, 1, 2)",4,"(3, 4)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00422363397764192,0.04775763547011421,4,"(5, 8)","""Node1""","""Node2""","""Node1""","""Node1""","""Node4""","""Node3""","""Node2""","""Node2""","""Node3""","""Node4""","""Node4""","(1, 1, 2)",4,"(5, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(5, 7)","""Node5""","""Node5""","""Node2""","""Node4""","""Node2""","""Node5""","""Node2""","""Node3""","""Node4""","""Node1""","""Node1""","(1, 3, 1)",5,"(5, 7)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.0046027892322921,0.0,5,"(6, 7)","""Node1""","""Node2""","""Node1""","""Node1""","""Node5""","""Node2""","""Node3""","""Node3""","""Node5""","""Node4""","""Node3""","(1, 3, 1)",5,"(6, 7)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.0054995212678319,0.042875611453392234,5,"(3, 4)","""Node4""","""Node4""","""Node1""","""Node5""","""Node2""","""Node4""","""Node5""","""Node1""","""Node5""","""Node3""","""Node2""","(2, 2, 1)",5,"(3, 4)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00598445414204818,99999.0,99999,"(3, 4)","""Node4""","""Node5""","""Node4""","""Node3""","""Node2""","""Node1""","""Node5""","""Node4""","""Node3""","""Node3""","""Node2""","(3, 2, 0)",5,"(3, 4)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00493146951618407,0.041411303244924126,5,"(6, 8)","""Node1""","""Node4""","""Node1""","""Node3""","""Node2""","""Node4""","""Node3""","""Node5""","""Node2""","""Node5""","""Node5""","(3, 2, 0)",5,"(6, 8)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00394848357143863,0.0505084239396119,6,"(5, 6)","""Node3""","""Node6""","""Node3""","""Node3""","""Node1""","""Node6""","""Node6""","""Node4""","""Node2""","""Node5""","""Node5""","(0, 1, 5)",6,"(5, 6)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00406177878573427,0.05180754334141216,6,"(6, 7)","""Node5""","""Node4""","""Node5""","""Node1""","""Node2""","""Node4""","""Node6""","""Node1""","""Node6""","""Node3""","""Node3""","(0, 1, 5)",6,"(6, 7)",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""PB"""
